timestamp,doctor_id,name,type,event,similarity,photo_path
2025-08-29 08:32:43,D101,Dr_Saksham,Cardiologist,entry,0.938,./storage/photos\D101_entry_20250829_083243_4f1ff16c.jpg
2025-08-29 08:33:02,D101,Dr_Saksham,Cardiologist,exit,0.950,./storage/photos\D101_exit_20250829_083302_a0b8b58d.jpg
2025-08-29 08:33:13,D101,Dr_Saksham,Cardiologist,entry,0.948,./storage/photos\D101_entry_20250829_083313_8dc8eb06.jpg
2025-08-29 08:35:58,D101,Dr_Saksham,Cardiologist,entry,0.930,./storage/photos\D101_entry_20250829_083558_c83e8162.jpg
2025-08-29 08:36:08,D101,Dr_Saksham,Cardiologist,exit,0.943,./storage/photos\D101_exit_20250829_083608_4ac19fb8.jpg
2025-08-29 08:36:13,D102,Dr_Himanshu,Dermatologist,entry,0.887,./storage/photos\D102_entry_20250829_083613_f72578ac.jpg
2025-08-29 08:36:19,D101,Dr_Saksham,Cardiologist,entry,0.947,./storage/photos\D101_entry_20250829_083619_32e37eba.jpg
2025-08-29 08:36:23,D102,Dr_Himanshu,Dermatologist,exit,0.972,./storage/photos\D102_exit_20250829_083623_6bac28a5.jpg
2025-08-29 08:36:39,D102,Dr_Himanshu,Dermatologist,entry,0.953,./storage/photos\D102_entry_20250829_083639_499446de.jpg
2025-08-29 09:08:11,D101,Dr_Saksham,Cardiologist,entry,0.941,./storage/photos\D101_entry_20250829_090811_f4e144a6.jpg
2025-08-29 09:08:21,D101,Dr_Saksham,Cardiologist,exit,0.958,./storage/photos\D101_exit_20250829_090821_56614dba.jpg
2025-08-29 09:22:26,D103,Dr_Gungun,Surgeon,entry,0.960,./storage/photos\D103_entry_20250829_092226_84ec513c.jpg
2025-08-29 09:22:48,D103,Dr_Gungun,Surgeon,exit,0.945,./storage/photos\D103_exit_20250829_092248_4ccc9e74.jpg
2025-08-29 09:38:09,D101,Dr_Saksham,Cardiologist,entry,0.968,./storage/photos\D101_entry_20250829_093809_1f2bc3de.jpg
2025-08-29 09:38:20,D101,Dr_Saksham,Cardiologist,exit,0.947,./storage/photos\D101_exit_20250829_093820_0bde9fc8.jpg
2025-08-29 09:38:30,D101,Dr_Saksham,Cardiologist,entry,0.957,./storage/photos\D101_entry_20250829_093830_1f8da9d2.jpg
2025-08-29 09:38:34,D102,Dr_Himanshu,Dermatologist,entry,0.934,./storage/photos\D102_entry_20250829_093834_a107cc25.jpg
2025-08-29 09:38:40,D101,Dr_Saksham,Cardiologist,exit,0.960,./storage/photos\D101_exit_20250829_093840_190b534c.jpg
2025-08-29 09:38:45,D102,Dr_Himanshu,Dermatologist,exit,0.872,./storage/photos\D102_exit_20250829_093845_5384f9ad.jpg
2025-08-29 09:39:04,D104,Dr_Sakshi,Pediatrician,entry,0.901,./storage/photos\D104_entry_20250829_093904_63cf481e.jpg
2025-08-29 09:39:13,D103,Dr_Gungun,Surgeon,entry,0.978,./storage/photos\D103_entry_20250829_093913_a5896c58.jpg
2025-08-29 09:39:21,D104,Dr_Sakshi,Pediatrician,exit,0.927,./storage/photos\D104_exit_20250829_093921_569a96b9.jpg
2025-08-29 09:39:28,D103,Dr_Gungun,Surgeon,exit,0.943,./storage/photos\D103_exit_20250829_093928_fc6e4b28.jpg
2025-08-29 09:39:35,D101,Dr_Saksham,Cardiologist,entry,0.966,./storage/photos\D101_entry_20250829_093935_35a400ca.jpg
2025-08-29 14:41:08,D101,Dr_Saksham,Cardiologist,entry,0.961,./storage/photos\D101_entry_20250829_144108_130bb0ad.jpg
2025-08-29 14:41:20,D101,Dr_Saksham,Cardiologist,exit,0.952,./storage/photos\D101_exit_20250829_144120_f9788f6f.jpg
2025-08-29 14:43:25,D101,Dr_Saksham,Cardiologist,entry,0.947,./storage/photos\D101_entry_20250829_144325_1a0ca142.jpg
